importerFile,importedModule,importedFile,Internal/external,Mapped correctly?
benchmarks/dynamo/test.py,dynamo.torchbench.setup_torchbench_cwd,benchmarks/dynamo/torchbench.py,INTERNAL,MAPPED
benchmarks/dynamo/test.py,dynamo.torchbench.TorchBenchmarkRunner,benchmarks/dynamo/torchbench.py,INTERNAL,MAPPED
benchmarks/dynamo/benchmarks.py,torchbench,benchmarks/dynamo/torchbench.py,INTERNAL,MAPPED
benchmarks/dynamo/dist_util.py,torchbench.setup_torchbench_cwd,benchmarks/dynamo/torchbench.py,INTERNAL,MAPPED
benchmarks/fastrnns/factory.py,fastrnns.cells.flat_lstm_cell,benchmarks/fastrnns/cells.py,INTERNAL,MAPPED
benchmarks/fastrnns/factory.py,fastrnns.cells.lstm_cell,benchmarks/fastrnns/cells.py,INTERNAL,MAPPED
benchmarks/fastrnns/factory.py,fastrnns.cells.premul_lstm_cell,benchmarks/fastrnns/cells.py,INTERNAL,MAPPED
benchmarks/fastrnns/factory.py,fastrnns.cells.premul_lstm_cell_no_bias,benchmarks/fastrnns/cells.py,INTERNAL,MAPPED
benchmarks/fastrnns/factory.py,fastrnns.custom_lstms.LSTMState,benchmarks/fastrnns/custom_lstms.py,INTERNAL,MAPPED
benchmarks/fastrnns/factory.py,fastrnns.custom_lstms.script_lnlstm,benchmarks/fastrnns/custom_lstms.py,INTERNAL,MAPPED
benchmarks/fastrnns/factory.py,fastrnns.custom_lstms.script_lstm,benchmarks/fastrnns/custom_lstms.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.dropoutlstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.imagenet_cnn_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.layernorm_pytorch_lstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.lnlstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.lstm_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.lstm_multilayer_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
benchmarks/fastrnns/runner.py,fastrnns.factory.lstm_premul_bias_creator,benchmarks/fastrnns/factory.py,INTERNAL,MAPPED
